Study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,Studyslider.response,Studyslider.rt,Test_Phase.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,Test_Phase.stopped,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,TestText.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
t-shirt,,,,0,0,0,7,,,,,0.07176700001582503,,0.017572799930348992,0.07176700001582503,0.07176700001582503,1.9830606000032276,1.9933333333333334,1.924656200222671,,,,,,,,,,,,,,,,0001,001,2024-11-07_13h45.05.043,Task 5,2024.1.5,None,2024-11-07 13h45.15.003490 +0530,
marble,,,,0,1,1,3,,,,,2.021619699895382,,1.985629899892956,2.021619699895382,2.021619699895382,4.977672299835831,2.046666666666667,2.9653908000327647,,,,,,,,,,,,,,,,0001,001,2024-11-07_13h45.05.043,Task 5,2024.1.5,None,2024-11-07 13h45.15.003490 +0530,
laptop,,,,0,2,2,5,,,,,5.005891199922189,,4.97804329986684,5.005891199922189,5.005891199922189,6.283396999817342,1,1.2657088001724333,,,,,,,,,,,,,,,,0001,001,2024-11-07_13h45.05.043,Task 5,2024.1.5,None,2024-11-07 13h45.15.003490 +0530,
pastry,,,,0,3,3,9,,,,,6.321776899974793,,6.283958199899644,6.321776899974793,6.321776899974793,7.815834000008181,2.02,1.4884891998954117,,,,,,,,,,,,,,,,0001,001,2024-11-07_13h45.05.043,Task 5,2024.1.5,None,2024-11-07 13h45.15.003490 +0530,
board,,,,0,4,4,4,,,,,7.838044899981469,,7.816351399989799,7.838044899981469,7.838044899981469,9.681385800009593,1,1.8230957000050694,,,,,,,,,,,,,,,,0001,001,2024-11-07_13h45.05.043,Task 5,2024.1.5,None,2024-11-07 13h45.15.003490 +0530,
poster,,,,0,5,5,14,,,,,9.70455010002479,,9.681903399992734,9.70455010002479,9.70455010002479,10.5985619998537,1,0.8752370001748204,,,,,,,,,,,,,,,,0001,001,2024-11-07_13h45.05.043,Task 5,2024.1.5,None,2024-11-07 13h45.15.003490 +0530,
phone,,,,0,6,6,2,,,,,10.621526399860159,,10.599028300028294,10.621526399860159,10.621526399860159,11.61720999982208,1,0.976655500009656,,,,,,,,,,,,,,,,0001,001,2024-11-07_13h45.05.043,Task 5,2024.1.5,None,2024-11-07 13h45.15.003490 +0530,
book,,,,0,7,7,0,,,,,11.654941299930215,,11.617778699845076,11.654941299930215,11.654941299930215,12.365752599900588,1,0.702173599973321,,,,,,,,,,,,,,,,0001,001,2024-11-07_13h45.05.043,Task 5,2024.1.5,None,2024-11-07 13h45.15.003490 +0530,
cruise,,,,0,8,8,11,,,,,12.405538099817932,,12.366282099857926,12.405538099817932,12.405538099817932,14.132450100034475,1.9933333333333334,1.7226573000662029,,,,,,,,,,,,,,,,0001,001,2024-11-07_13h45.05.043,Task 5,2024.1.5,None,2024-11-07 13h45.15.003490 +0530,
police,,,,0,9,9,12,,,,,14.17195550003089,,14.13302359986119,14.17195550003089,14.17195550003089,15.500856600003317,1.0333333333333334,1.3228746999520808,,,,,,,,,,,,,,,,0001,001,2024-11-07_13h45.05.043,Task 5,2024.1.5,None,2024-11-07 13h45.15.003490 +0530,
case,,,,0,10,10,10,,,,,15.538194499909878,,15.501497899880633,15.538194499909878,15.538194499909878,16.232997499872,1.0333333333333334,0.6849316000007093,,,,,,,,,,,,,,,,0001,001,2024-11-07_13h45.05.043,Task 5,2024.1.5,None,2024-11-07 13h45.15.003490 +0530,
keys,,,,0,11,11,13,,,,,16.271832200000063,,16.233569500036538,16.271832200000063,16.271832200000063,16.899609099840745,1.0333333333333334,0.6219075000844896,,,,,,,,,,,,,,,,0001,001,2024-11-07_13h45.05.043,Task 5,2024.1.5,None,2024-11-07 13h45.15.003490 +0530,
cushion,,,,0,12,12,1,,,,,16.938640399836004,,16.900188299827278,16.938640399836004,16.938640399836004,17.448328800033778,1.0333333333333334,0.5049107999075204,,,,,,,,,,,,,,,,0001,001,2024-11-07_13h45.05.043,Task 5,2024.1.5,None,2024-11-07 13h45.15.003490 +0530,
chart,,,,0,13,13,6,,,,,17.48770929989405,,17.448865399928764,17.48770929989405,17.48770929989405,18.031446399865672,1.0333333333333334,0.5387812999542803,,,,,,,,,,,,,,,,0001,001,2024-11-07_13h45.05.043,Task 5,2024.1.5,None,2024-11-07 13h45.15.003490 +0530,
mouse,,,,0,14,14,8,,,,,18.054057199973613,,18.031952899880707,18.054057199973613,18.054057199973613,18.565954099874943,1.0333333333333334,0.4903694000095129,,,,,,,,,,,,,,,,0001,001,2024-11-07_13h45.05.043,Task 5,2024.1.5,None,2024-11-07 13h45.15.003490 +0530,
,_ho_e,phone,old,,,,,0,0,0,12,18.604164900025353,,,,,,,,18.581643000012264,18.604164900025353,18.604164900025353,18.604164900025353,0.019716799957677722,26.761390999890864,"chore
","[-0.49166666666666664, -0.05]","[-0.29333333333333333, -0.30333333333333334]","[1, 1]","[0, 0]","[0, 0]","[0.24047559988684952, 8.174679799936712]",['submit_text'],,0001,001,2024-11-07_13h45.05.043,Task 5,2024.1.5,None,2024-11-07 13h45.15.003490 +0530,
,ta_l_,table,new,,,,,0,1,1,15,26.78733059996739,,,,,,,,26.763154899934307,26.78733059996739,26.78733059996739,26.78733059996739,0.003860299941152334,30.945550199830905,tails,[-0.05],[-0.30333333333333334],[1],[0],[0],[4.177883299998939],['submit_text'],,0001,001,2024-11-07_13h45.05.043,Task 5,2024.1.5,None,2024-11-07 13h45.15.003490 +0530,
,t_hi_t,thsirt,old,,,,,0,2,2,2,30.97053759987466,,,,,,,,30.9467082999181,30.97053759987466,30.97053759987466,30.97053759987466,0.004397499840706587,35.5116286999546,tshirt,[-0.05],[-0.30333333333333334],[1],[0],[0],[4.559786800062284],['submit_text'],,0001,001,2024-11-07_13h45.05.043,Task 5,2024.1.5,None,2024-11-07 13h45.15.003490 +0530,
,p_nc_l,pencil,new,,,,,0,3,3,16,35.53698599990457,,,,,,,,35.51285779988393,35.53698599990457,35.53698599990457,35.53698599990457,0.004825100069865584,39.07668239995837,pencil,[-0.05],[-0.30333333333333334],[1],[0],[0],[3.55833619995974],['submit_text'],,0001,001,2024-11-07_13h45.05.043,Task 5,2024.1.5,None,2024-11-07 13h45.15.003490 +0530,
,_oo_,book,old,,,,,0,4,4,13,39.103400599909946,,,,,,,,39.077820600010455,39.103400599909946,39.103400599909946,39.103400599909946,0.0037724000867456198,42.809523300034925,book,[-0.05],[-0.30333333333333334],[1],[0],[0],[3.727441200055182],['submit_text'],,0001,001,2024-11-07_13h45.05.043,Task 5,2024.1.5,None,2024-11-07 13h45.15.003490 +0530,
,P_li_e,police,old,,,,,0,5,5,7,42.83647139999084,,,,,,,,42.81049499986693,42.83647139999084,42.83647139999084,42.83647139999084,0.004548300057649612,47.3588556998875,police,[-0.05],[-0.30333333333333334],[1],[0],[0],[4.543194299796596],['submit_text'],,0001,001,2024-11-07_13h45.05.043,Task 5,2024.1.5,None,2024-11-07 13h45.15.003490 +0530,
,_a_bl_,marble,old,,,,,0,6,6,11,47.386200199835,,,,,,,,47.35997590003535,47.386200199835,47.386200199835,47.386200199835,0.003999300068244338,51.67859559995122,marble,[-0.05],[-0.30333333333333334],[1],[0],[0],[4.313814299879596],['submit_text'],,0001,001,2024-11-07_13h45.05.043,Task 5,2024.1.5,None,2024-11-07 13h45.15.003490 +0530,
,c_m_ra,camera,new,,,,,0,7,7,19,51.702733599813655,,,,,,,,51.67974819988012,51.702733599813655,51.702733599813655,51.702733599813655,0.0041108999866992235,54.67597919981927,camera,[-0.05],[-0.30333333333333334],[1],[0],[0],[2.9914350998587906],['submit_text'],,0001,001,2024-11-07_13h45.05.043,Task 5,2024.1.5,None,2024-11-07 13h45.15.003490 +0530,
,v_s_,vase,new,,,,,0,8,8,17,54.70329029997811,,,,,,,,54.677140899933875,54.70329029997811,54.70329029997811,54.70329029997811,0.006862899987027049,60.27510460000485,vise,[-0.05],[-0.30333333333333334],[1],[0],[0],[5.590596199966967],['submit_text'],,0001,001,2024-11-07_13h45.05.043,Task 5,2024.1.5,None,2024-11-07 13h45.15.003490 +0530,
,_ha_t,chart,old,,,,,0,9,9,1,60.302322200033814,,,,,,,,60.27597099984996,60.302322200033814,60.302322200033814,60.302322200033814,0.0031240000389516354,64.04235869995318,chart,[-0.05],[-0.30333333333333334],[1],[0],[0],[3.762705799890682],['submit_text'],,0001,001,2024-11-07_13h45.05.043,Task 5,2024.1.5,None,2024-11-07 13h45.15.003490 +0530,
,_ruis_,cruise,old,,,,,0,10,10,6,64.06903599994257,,,,,,,,64.04334969981574,64.06903599994257,64.06903599994257,64.06903599994257,0.003945400007069111,67.47762679983862,cruise,[-0.05],[-0.30333333333333334],[1],[0],[0],[3.4296196999493986],['submit_text'],,0001,001,2024-11-07_13h45.05.043,Task 5,2024.1.5,None,2024-11-07 13h45.15.003490 +0530,
,p_st_r,poster,old,,,,,0,11,11,9,67.50204699998721,,,,,,,,67.47879519988783,67.50204699998721,67.50204699998721,67.50204699998721,0.004203699994832277,70.65732819982804,pastry,[-0.05],[-0.30333333333333334],[1],[0],[0],[3.1737795998342335],['submit_text'],,0001,001,2024-11-07_13h45.05.043,Task 5,2024.1.5,None,2024-11-07 13h45.15.003490 +0530,
,c_s_io,cushion,old,,,,,0,12,12,14,70.6859630998224,,,,,,,,70.65848240000196,70.6859630998224,70.6859630998224,70.6859630998224,0.004548500059172511,74.525062300032,casio,[-0.05],[-0.30333333333333334],[1],[0],[0],[3.8613541000522673],['submit_text'],,0001,001,2024-11-07_13h45.05.043,Task 5,2024.1.5,None,2024-11-07 13h45.15.003490 +0530,
,l_pt_p,laptop,old,,,,,0,13,13,0,74.55174429994076,,,,,,,,74.52607369981706,74.55174429994076,74.55174429994076,74.55174429994076,0.004066299879923463,77.29092719987966,laptop,[-0.05],[-0.30333333333333334],[1],[0],[0],[2.7601530998945236],['submit_text'],,0001,001,2024-11-07_13h45.05.043,Task 5,2024.1.5,None,2024-11-07 13h45.15.003490 +0530,
,K_y_,keys,old,,,,,0,14,14,8,77.31841579987668,,,,,,,,77.29204339999706,77.31841579987668,77.31841579987668,77.31841579987668,0.006574700120836496,80.04365829983726,keys,[-0.05],[-0.30333333333333334],[1],[0],[0],[2.744296499993652],['submit_text'],,0001,001,2024-11-07_13h45.05.043,Task 5,2024.1.5,None,2024-11-07 13h45.15.003490 +0530,
,bo_t_e,bottle,new,,,,,0,15,15,18,80.06818449986167,,,,,,,,80.04480100004002,80.06818449986167,80.06818449986167,80.06818449986167,0.00430300016887486,83.17282620002516,bottle,[-0.05],[-0.30333333333333334],[1],[0],[0],[3.1232479999307543],['submit_text'],,0001,001,2024-11-07_13h45.05.043,Task 5,2024.1.5,None,2024-11-07 13h45.15.003490 +0530,
,Pas_tr_,pastry,old,,,,,0,16,16,4,83.18544629984535,,,,,,,,83.17355449986644,83.18544629984535,83.18544629984535,83.18544629984535,0.0025545000098645687,86.97196180000901,pastry,[-0.05],[-0.30333333333333334],[1],[0],[0],[3.795442100148648],['submit_text'],,0001,001,2024-11-07_13h45.05.043,Task 5,2024.1.5,None,2024-11-07 13h45.15.003490 +0530,
,_o_rd,board,old,,,,,0,17,17,10,86.98523420002311,,,,,,,,86.97261910000816,86.98523420002311,86.98523420002311,86.98523420002311,0.002360199810937047,97.92409749981016,board,[-0.05],[-0.30333333333333334],[1],[0],[0],[10.948433800134808],['submit_text'],96.98504909989424,0001,001,2024-11-07_13h45.05.043,Task 5,2024.1.5,None,2024-11-07 13h45.15.003490 +0530,
,_ouse,mouse,old,,,,,0,18,18,3,97.95144629990682,,,,,,,,97.9249467998743,97.95144629990682,97.95144629990682,97.95144629990682,0.003162299981340766,100.85613299999386,house,[-0.05],[-0.30333333333333334],[1],[0],[0],[2.927556399954483],['submit_text'],,0001,001,2024-11-07_13h45.05.043,Task 5,2024.1.5,None,2024-11-07 13h45.15.003490 +0530,
,c_s_,case,old,,,,,0,19,19,5,100.8836351998616,,,,,,,,100.8568911999464,100.8836351998616,100.8836351998616,100.8836351998616,0.0025937999598681927,108.24214979982935,case,[-0.05],[-0.30333333333333334],[1],[0],[0],[7.381824600044638],['submit_text'],,0001,001,2024-11-07_13h45.05.043,Task 5,2024.1.5,None,2024-11-07 13h45.15.003490 +0530,
