Study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,Studyslider.response,Studyslider.rt,Test_Phase.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,Test_Phase.stopped,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
mouse,,,,0,0,0,8,,,,,0.11104670003987849,,0.024890299886465073,0.11104670003987849,0.11104670003987849,3.3022618999239057,1,3.231307700043544,,,,,,,,,,,,,,,0003,001,2024-11-07_13h50.14.510,Task 5,2024.1.5,None,2024-11-07 13h50.25.086929 +0530,
keys,,,,0,1,1,13,,,,,3.3271401999518275,,3.3027629000134766,3.3271401999518275,3.3271401999518275,4.419035000028089,1,1.089891399955377,,,,,,,,,,,,,,,0003,001,2024-11-07_13h50.14.510,Task 5,2024.1.5,None,2024-11-07 13h50.25.086929 +0530,
laptop,,,,0,2,2,5,,,,,4.443539199884981,,4.41949320002459,4.443539199884981,4.443539199884981,5.338731299852952,1,0.8782645000610501,,,,,,,,,,,,,,,0003,001,2024-11-07_13h50.14.510,Task 5,2024.1.5,None,2024-11-07 13h50.25.086929 +0530,
poster,,,,0,3,3,14,,,,,5.377527199918404,,5.339283099863678,5.377527199918404,5.377527199918404,6.170941599877551,1,0.7841131000313908,,,,,,,,,,,,,,,0003,001,2024-11-07_13h50.14.510,Task 5,2024.1.5,None,2024-11-07 13h50.25.086929 +0530,
case,,,,0,4,4,10,,,,,6.2102373000234365,,6.171473099850118,6.2102373000234365,6.2102373000234365,7.089131799992174,1,0.8718826998956501,,,,,,,,,,,,,,,0003,001,2024-11-07_13h50.14.510,Task 5,2024.1.5,None,2024-11-07 13h50.25.086929 +0530,
cruise,,,,0,5,5,11,,,,,7.11006739991717,,7.08964669983834,7.11006739991717,7.11006739991717,8.022787599824369,1,0.8889733999967575,,,,,,,,,,,,,,,0003,001,2024-11-07_13h50.14.510,Task 5,2024.1.5,None,2024-11-07 13h50.25.086929 +0530,
t-shirt,,,,0,6,6,7,,,,,8.060585599858314,,8.0233600998763,8.060585599858314,8.060585599858314,8.856192299863324,1,0.7857619000133127,,,,,,,,,,,,,,,0003,001,2024-11-07_13h50.14.510,Task 5,2024.1.5,None,2024-11-07 13h50.25.086929 +0530,
book,,,,0,7,7,0,,,,,8.894303399836645,,8.856737499823794,8.894303399836645,8.894303399836645,9.804937799926847,1,0.9034454000648111,,,,,,,,,,,,,,,0003,001,2024-11-07_13h50.14.510,Task 5,2024.1.5,None,2024-11-07 13h50.25.086929 +0530,
pastry,,,,0,8,8,9,,,,,9.844088699901477,,9.805536599829793,9.844088699901477,9.844088699901477,10.5882263998501,1,0.7311224997974932,,,,,,,,,,,,,,,0003,001,2024-11-07_13h50.14.510,Task 5,2024.1.5,None,2024-11-07 13h50.25.086929 +0530,
board,,,,0,9,9,4,,,,,10.626915500033647,,10.588777899974957,10.626915500033647,10.626915500033647,11.422319199889898,1,0.7882377000059932,,,,,,,,,,,,,,,0003,001,2024-11-07_13h50.14.510,Task 5,2024.1.5,None,2024-11-07 13h50.25.086929 +0530,
phone,,,,0,10,10,2,,,,,11.46084489999339,,11.422854899894446,11.46084489999339,11.46084489999339,12.18663419992663,1,0.7210635000374168,,,,,,,,,,,,,,,0003,001,2024-11-07_13h50.14.510,Task 5,2024.1.5,None,2024-11-07 13h50.25.086929 +0530,
police,,,,0,11,11,12,,,,,12.22744689998217,,12.187145199859515,12.22744689998217,12.22744689998217,12.905487600015476,1,0.67376449983567,,,,,,,,,,,,,,,0003,001,2024-11-07_13h50.14.510,Task 5,2024.1.5,None,2024-11-07 13h50.25.086929 +0530,
cushion,,,,0,12,12,1,,,,,12.943519399967045,,12.906028299825266,12.943519399967045,12.943519399967045,13.68655059998855,1,0.7380921998992562,,,,,,,,,,,,,,,0003,001,2024-11-07_13h50.14.510,Task 5,2024.1.5,None,2024-11-07 13h50.25.086929 +0530,
chart,,,,0,13,13,6,,,,,13.727173499995843,,13.68706059991382,13.727173499995843,13.727173499995843,14.470085999928415,1,0.7399642998352647,,,,,,,,,,,,,,,0003,001,2024-11-07_13h50.14.510,Task 5,2024.1.5,None,2024-11-07 13h50.25.086929 +0530,
marble,,,,0,14,14,3,,,,,14.510026199975982,,14.47061700001359,14.510026199975982,14.510026199975982,15.22182650002651,1,0.7038171000313014,,,,,,,,,,,,,,,0003,001,2024-11-07_13h50.14.510,Task 5,2024.1.5,None,2024-11-07 13h50.25.086929 +0530,
,v_s_,vase,new,,,,,0,0,0,17,15.276662399992347,,,,,,,,15.235043799970299,15.276662399992347,15.276662399992347,15.276662399992347,0.019100399920716882,25.152653699973598,vase,[-0.055],[-0.2966666666666667],[1],[0],[0],[9.910440499894321],['submit_text'],0003,001,2024-11-07_13h50.14.510,Task 5,2024.1.5,None,2024-11-07 13h50.25.086929 +0530,
,_a_bl_,marble,old,,,,,0,1,1,11,25.17676129983738,,,,,,,,25.154599000001326,25.17676129983738,25.17676129983738,25.17676129983738,0.00482369982637465,30.831830200040713,fable,[-0.055],[-0.2966666666666667],[1],[0],[0],[5.671807400183752],['submit_text'],0003,001,2024-11-07_13h50.14.510,Task 5,2024.1.5,None,2024-11-07 13h50.25.086929 +0530,
