stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,10,0.068333,,0.0530154,0.068333,0.5898767,0.5898767,0.5991806,0.8967519,1.9697722,right,10,1,1,1.3554651,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
1,2,8,1.9792845,,1.9699334,1.9792845,2.4806975,2.4806975,2.4806975,2.7800638,3.1152406,right,8,1,1,0.6319011,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
2,2,6,3.130501,,3.1153852,3.130501,3.6304143,3.6304143,3.6304143,3.9305685,4.1488111,left,-6,1,1,0.5102661,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
3,2,4,4.1640347,,4.1489416,4.1640347,4.6635509,4.6635509,4.6635509,4.9638747,5.1653048,left,-4,1,1,0.4960987,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
4,2,2,5.1806163,,5.1654778,5.1806163,5.6805825,5.6805825,5.6805825,5.9797578,6.3161657,right,2,1,1,0.6301629,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
5,2,1,6.3306312,,6.3162969,6.3306312,6.8304057,6.8304057,6.8304057,7.1305464,7.2489264,left,-1,1,1,0.4118426,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
6,2,1,7.2639655,,7.249088,7.2639655,7.7637991,7.7637991,7.7637991,8.0638679,8.3819135,right,1,1,1,0.6022259,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
7,2,1,8.397492,,8.3820436,8.397492,8.897156,8.897156,8.897156,9.1971848,9.7320569,right,1,1,1,0.8306172,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
8,2,1,9.746989,,9.7321968,9.746989,10.2470968,10.2470968,10.2470968,10.5469445,10.8487159,left,-1,1,1,0.5976384,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
9,2,1,10.8637322,,10.8488578,10.8637322,11.362479,11.362479,11.3792907,11.6638436,11.9322081,right,1,1,1,0.5538117,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
10,2,1,11.9467875,,11.9323396,11.9467875,12.4469316,12.4469316,12.4469316,12.7465805,13.382309,right,1,1,1,0.9272688,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
11,2,1,13.3968033,,13.3824475,13.3968033,13.8967544,13.8967544,13.8967544,14.1966766,14.5158891,left,-1,1,1,0.6099531,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
12,1,1,14.5305295,,14.5160388,14.5305295,15.0304109,15.0304109,15.0304109,15.3302327,15.7815081,right,1,0,0,0.7387138,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
13,1,2,15.7968148,,15.7816451,15.7968148,16.2963405,16.2963405,16.2963405,16.5965594,16.8821483,left,-2,1,1,0.583185,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
14,1,2,16.8970326,,16.8822801,16.8970326,17.3802721,17.3802721,17.3965892,17.6793645,17.9316151,right,2,1,1,0.5468633,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
15,1,2,17.9464662,,17.9317452,17.9464662,18.4463518,18.4463518,18.4463518,18.7467373,18.9312413,left,-2,1,1,0.4766817,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
16,1,1,18.9470322,,18.9313807,18.9470322,19.4466613,19.4466613,19.4466613,19.7466881,20.0818953,left,-1,1,1,0.6327577,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
17,1,1,20.0964197,,20.0820207,20.0964197,20.5963226,20.5963226,20.5963226,20.8966812,21.2643966,left,-1,1,1,0.6557355,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
18,1,1,21.2799921,,21.2645272,21.2799921,21.7796067,21.7796067,21.7796067,22.0801908,22.3477014,right,1,1,1,0.559591,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
19,1,1,22.3629244,,22.3478382,22.3629244,22.8632955,22.8632955,22.8632955,23.1630361,23.4151333,left,-1,1,1,0.5417583,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
20,1,1,23.430003,,23.4152785,23.430003,23.9293655,23.9293655,23.9293655,24.2294889,24.5483459,left,-1,1,1,0.6130559,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
21,1,1,24.5634299,,24.5485147,24.5634299,25.0631837,25.0631837,25.0631837,25.3627437,25.6642703,left,-1,1,1,0.5907271,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
22,1,1,25.6796283,,25.6644044,25.6796283,26.1796675,26.1796675,26.1796675,26.4790282,26.8482369,left,-1,1,1,0.6659568,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
23,1,1,26.8630502,,26.8483738,26.8630502,27.3622661,27.3622661,27.3622661,27.6628079,27.8149633,left,-1,1,1,0.4503414,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
24,0.5,1,27.8296842,,27.8150988,27.8296842,28.3295813,28.3295813,28.3295813,28.6293171,28.8646666,left,-1,0,0,0.5240861,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
25,0.5,1.5,28.8791613,,28.8648117,28.8791613,29.3793964,29.3793964,29.3793964,29.6791371,29.7814322,right,1.5,1,1,0.3991635,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
26,0.5,1.5,29.7962574,,29.7815669,29.7962574,30.295829,30.295829,30.295829,30.5961665,30.8972739,left,-1.5,1,1,0.5887988,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
27,0.5,1.5,30.9134557,,30.8974032,30.9134557,31.4127394,31.4127394,31.4127394,31.71266,34.064592,right,1.5,1,1,2.6377527,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
28,0.5,1,34.0791401,,34.0647336,34.0791401,34.5789661,34.5789661,34.5789661,34.8791787,35.4638036,left,-1,1,1,0.8794855,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
29,0.5,1,35.4790285,,35.4639345,35.4790285,35.9787975,35.9787975,35.9787975,36.2792011,36.5967418,right,1,1,1,0.6057317,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
30,0.5,1,36.6121221,,36.5968745,36.6121221,37.1118921,37.1118921,37.1118921,37.4124016,38.1635118,right,1,0,0,1.0425279,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
31,0.5,1.5,38.179045,,38.163649,38.179045,38.6619019,38.6619019,38.6788791,38.9623891,39.364368,right,1.5,1,1,0.7004656,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
32,0.5,1.5,39.3789089,,39.3645118,39.3789089,39.8786126,39.8786126,39.8786126,40.1787981,41.1135573,left,-1.5,1,1,1.2238886,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
33,0.5,1.5,41.1285844,,41.1136865,41.1285844,41.6288333,41.6288333,41.6288333,41.9286165,42.546837,left,-1.5,1,1,0.9078333,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
34,0.5,1,42.5622143,,42.5469737,42.5622143,43.0619518,43.0619518,43.0619518,43.361889,43.8970443,right,1,0,0,0.8224143,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
35,0.5,1.5,43.9122611,,43.897201,43.9122611,44.411954,44.411954,44.411954,44.7118664,45.0806167,right,1.5,0,0,0.6645303,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
36,0.5,2,45.0954811,,45.0808366,45.0954811,45.5950646,45.5950646,45.6120562,45.895092,46.0632866,left,-2,0,0,0.4626139,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
37,0.5,2.5,46.0785624,,46.0634233,46.0785624,46.5781068,46.5781068,46.5781068,46.8783769,47.1470348,right,2.5,0,0,0.566404,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
38,0.5,3,47.1620822,,47.1471769,47.1620822,47.6617495,47.6617495,47.6617495,47.9616073,48.2964068,left,-3,1,1,0.6244562,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
39,0.5,3,48.3118265,,48.2965364,48.3118265,48.8118947,48.8118947,48.8282391,49.111657,49.3133878,right,3,1,1,0.4944963,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
40,0.5,3,49.3284459,,49.3135268,49.3284459,49.8283694,49.8283694,49.8283694,50.1283822,50.3468741,right,3,1,1,0.5146414,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
41,0.5,2.5,50.3615546,,50.3470265,50.3615546,50.861508,50.861508,50.861508,51.1619088,51.5143548,right,2.5,1,1,0.6493628,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
42,0.5,2.5,51.5271265,,51.5144791,51.5271265,52.0282808,52.0282808,52.0282808,52.3279037,52.4796937,left,-2.5,0,0,0.4403176,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
43,0.5,3,52.4950261,,52.4798312,52.4950261,52.9947444,52.9947444,52.9947444,53.2950255,53.5300239,right,3,1,1,0.5237289,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
44,0.5,3,53.5447205,,53.5301612,53.5447205,54.0450249,54.0450249,54.0450249,54.3447013,54.5299006,left,-3,1,1,0.4827644,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
45,0.5,3,54.544838,,54.5300801,54.544838,55.0448679,55.0448679,55.0448679,55.3451485,55.6630712,right,3,1,1,0.6101816,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
46,0.5,2.5,55.6779982,,55.6632211,55.6779982,56.1775667,56.1775667,56.1775667,56.4777493,57.179808,left,-2.5,1,1,0.9977475,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
47,0.5,2.5,57.1947496,,57.1799388,57.1947496,57.6946337,57.6946337,57.6946337,57.9943768,59.1130567,left,-2.5,1,1,1.4160869,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
48,0.5,2.5,59.1277011,,59.1131916,59.1277011,59.6275303,59.6275303,59.6275303,59.9278706,60.4125476,left,-2.5,1,1,0.7713109,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
49,0.5,2,60.4286871,,60.412698,60.4286871,60.9277626,60.9277626,60.9277626,61.2284693,61.5448801,left,-2,1,1,0.6012175,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
50,0.5,2,61.5609723,,61.5450136,61.5609723,62.0612092,62.0612092,62.0612092,62.3608851,62.4466352,left,-2,1,1,0.37538,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
51,0.5,2,62.4609413,,62.446767,62.4609413,62.9612028,62.9612028,62.9612028,63.2610594,63.312685,left,-2,1,1,0.3402789,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
52,0.5,1.5,63.3275941,,63.3128239,63.3275941,63.8276474,63.8276474,63.8276474,64.1273807,64.5289754,right,1.5,1,1,0.691561,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
53,0.5,1.5,64.5438815,,64.5291062,64.5438815,65.0443102,65.0443102,65.0443102,65.3493927,65.6286923,left,-1.5,1,1,0.576991,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
54,0.5,1.5,65.6439289,,65.6288228,65.6439289,66.1439462,66.1439462,66.1439462,66.4442014,67.5619615,right,1.5,0,0,1.403011,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
55,0.5,2,67.577921,,67.5620977,67.577921,68.077011,68.077011,68.077011,68.3769767,68.9115111,right,2,1,1,0.8178716,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
56,0.5,2,68.9269797,,68.911645,68.9269797,69.4275406,69.4275406,69.4275406,69.7272706,69.9119759,left,-2,0,0,0.4794203,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
57,0.5,2.5,69.9272638,,69.9121014,69.9272638,70.4270093,70.4270093,70.4270093,70.7279706,71.4955264,left,-2.5,1,1,1.0521453,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
58,0.5,2.5,71.5102571,,71.4956684,71.5102571,72.0105585,72.0105585,72.0105585,72.3101475,72.6452101,right,2.5,1,1,0.6237782,347153,1,2024-09-12_11h04.50.320,Adaptive Staircase 1,2024.1.5,None,2024-09-12 11h04.54.738233 +0530
