pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,line1.started,line2.started,line3.started,line4.started,Fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,0,,,,,0.03849529998842627,,0.020015399990370497,0.03849529998842627,1.0222905999980867,1.0222905999980867,1.0222905999980867,1.0222905999980867,1.0401578999881167,2.0059810999955516,2.0059810999955516,2.4664529000001494,x,1,0.42853760000434704,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
150,v,0,1,1,1,,,,,2.488740400003735,,2.4716516999760643,2.488740400003735,3.4888382999924943,3.4888382999924943,3.4888382999924943,3.4888382999924943,3.5063201999873854,4.472990499984007,4.472990499984007,5.329035599977942,v,1,0.8534631000075024,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
50,c,0,2,2,2,,,,,5.340130500000669,,5.330556000000797,5.340130500000669,6.339741799980402,6.339741799980402,6.339741799980402,6.339741799980402,6.339741799980402,7.3390147000027355,7.3390147000027355,8.211956199986162,c,1,0.8702808000089135,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
-150,z,0,3,3,3,,,,,8.222212199994829,,8.213183399988338,8.222212199994829,9.223306999978377,9.223306999978377,9.223306999978377,9.223306999978377,9.223306999978377,10.223182699992321,10.223182699992321,10.895459599996684,z,1,0.6612994999741204,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
-50,x,1,0,4,0,,,,,10.906211099994835,,10.89706409999053,10.906211099994835,11.906022399984067,11.906022399984067,11.906022399984067,11.906022399984067,11.906022399984067,12.905597099976148,12.905597099976148,13.545163200004026,x,1,0.6058449000120163,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
150,v,1,1,5,1,,,,,13.55635749999783,,13.546837100002449,13.55635749999783,14.555805999989389,14.555805999989389,14.555805999989389,14.555805999989389,14.555805999989389,15.555241800000658,15.555241800000658,16.377947300003143,v,1,0.8178620999970008,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
50,c,1,2,6,2,,,,,16.38908709998941,,16.379567199997837,16.38908709998941,17.389131499978248,17.389131499978248,17.389131499978248,17.389131499978248,17.389131499978248,18.388420299976133,18.388420299976133,18.77683149999939,c,1,0.3792636999860406,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
-150,z,1,3,7,3,,,,,18.78858819999732,,18.778510000003735,18.78858819999732,19.78928579998319,19.78928579998319,19.78928579998319,19.78928579998319,19.78928579998319,20.788073399977293,20.788073399977293,21.1794768999971,z,1,0.38461069998447783,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
-50,x,2,0,8,0,,,,,21.188997199991718,,21.181435899983626,21.188997199991718,22.188930599979358,22.188930599979358,22.188930599979358,22.188930599979358,22.188930599979358,23.189020499994513,23.189020499994513,25.528635399998166,x,1,2.3329807000118308,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
150,v,2,1,9,1,,,,,25.539008099993225,,25.53020999999717,25.539008099993225,26.538544199982425,26.538544199982425,26.538544199982425,26.538544199982425,26.538544199982425,27.538813899998786,27.538813899998786,28.310799300001236,v,1,0.7603445000131615,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
50,c,2,2,10,2,,,,,28.3220350999909,,28.312520699982997,28.3220350999909,29.32227169998805,29.32227169998805,29.32227169998805,29.32227169998805,29.32227169998805,30.3215549000015,30.3215549000015,30.710444700001972,c,1,0.3775253999920096,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
-150,z,2,3,11,3,,,,,30.722015499981353,,30.712527900002897,30.722015499981353,31.72194709998439,31.72194709998439,31.72194709998439,31.72194709998439,31.72194709998439,32.721544999978505,32.721544999978505,33.09461430000374,z,1,0.3558123999973759,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
-50,x,3,0,12,0,,,,,33.10499359999085,,33.0961946999887,33.10499359999085,34.10521399998106,34.10521399998106,34.10521399998106,34.10521399998106,34.10521399998106,35.105163899977924,35.105163899977924,35.42808889999287,x,1,0.306432000012137,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
150,v,3,1,13,1,,,,,35.43829150000238,,35.42969779999112,35.43829150000238,36.43818299999111,36.43818299999111,36.43818299999111,36.43818299999111,36.43818299999111,37.438376599980984,37.438376599980984,37.79417619999731,v,1,0.34190769999986514,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
50,c,3,2,14,2,,,,,37.80493009998463,,37.795676899986574,37.80493009998463,38.805109099979745,38.805109099979745,38.805109099979745,38.805109099979745,38.805109099979745,39.80410189999384,39.80410189999384,40.45999299999676,c,1,0.6236011000000872,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
-150,z,3,3,15,3,,,,,40.47167139998055,,40.4615793999983,40.47167139998055,41.47154209998553,41.47154209998553,41.47154209998553,41.47154209998553,41.47154209998553,42.47082789998967,42.47082789998967,43.127619299979415,z,1,0.6474028000084218,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
