trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,key_resp.started,Fixation.stopped,trial.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.027207199949771166,,0.011779599939472973,0.027207199949771166,1.0672997999936342,1.0771801000228152,10.809398000012152,1,up,0,None,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
1,0,1,0,10.825517699937336,,10.815882900031283,10.825517699937336,11.827793100033887,11.827793100033887,15.965304099954665,3,down,1,4.134234500001185,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
2,0,2,0,15.976571399951354,,15.968976899981499,15.976571399951354,16.977955300011672,16.977955300011672,23.914977899985388,0,up,1,None,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
3,0,3,0,23.941760699963197,,23.918434699997306,23.941760699963197,24.927231800043955,24.943560800049454,26.230944699957035,0,up,1,None,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
4,0,4,0,26.243159899953753,,26.23427819996141,26.243159899953753,27.243548700003885,27.243548700003885,27.86238669999875,2,up,0,0.610498100053519,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
5,0,5,0,27.87713789998088,,27.8655847000191,27.87713789998088,28.877114600036293,28.877114600036293,29.645483699976467,4,down,1,0.7515772000188008,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
6,0,6,0,29.660149100003764,,29.648907499969937,29.660149100003764,30.66072359995451,30.66072359995451,31.330394699936733,1,up,0,0.6670077000744641,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
7,0,7,0,31.34428169997409,,31.3336117999861,31.34428169997409,32.34361890004948,32.36016249994282,33.030487800017,0,up,1,0.6833317000418901,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
8,0,8,0,33.043711300008,,33.03368530003354,33.043711300008,34.04290979995858,34.04290979995858,34.71357479994185,-4,down,1,0.667975899996236,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
9,0,9,0,34.726395300007425,,34.71748670004308,34.726395300007425,35.72622039995622,35.72622039995622,44.012492800015025,-4,down,1,8.28345770004671,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
